Taxon,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
Peptoniphilus,0.0,0.0,1.9704741525680337e-06,5.379523382198002e-06,0.0
Peptostreptococcus,0.0,0.0,2.3382959943807333e-05,5.180281775449928e-06,0.0
Phascolarctobacterium,0.0,0.0058135183638601765,0.0,0.0,0.002582389012332642
Phocaeicola,0.4226652337416961,0.2892091516960349,0.3060068853621489,0.32164967268588845,0.4650639861121176
Porphyromonas,0.0,0.0,1.9704741525680337e-06,0.0,0.0
Prevotella,0.0,1.6909776011228092e-05,1.6420617938066946e-05,0.00019525677461311263,0.0003592299675948295
Pseudobutyrivibrio,3.2400580216183376e-06,0.0,1.9704741525680337e-06,0.0,0.0
Pseudoflavonifractor,1.1507792283678923e-05,0.0006552538204350885,6.305517288217708e-06,0.00033014334238155884,1.0041368765753444e-06
Pseudomonas,0.0,1.4091480009356743e-06,0.0,0.0,0.0
Pyramidobacter,1.8993443575004047e-06,0.0,1.9704741525680337e-06,0.0,0.0
Raoultella,0.0,2.0354360013515293e-06,1.839109209063498e-06,1.394691247236519e-06,0.0
Rikenella,0.0,3.209726002131258e-05,0.0,3.7855905282134084e-06,1.799078570530825e-05
Robinsoniella,0.0,0.0,1.0903290310876452e-05,0.0,1.840917607054798e-06
Roseburia,0.0013785888251292644,0.0015049700649993002,0.000430220189977354,0.0018348159565430146,9.20458803527399e-06
Rothia,0.0,1.2056044008005213e-05,0.0,7.770422663174891e-06,0.0
Ruminococcus,6.4801160432366744e-06,0.0004532759403009752,1.0509195480362845e-06,0.0007365962201476301,0.0
Ruthenibacterium,0.0010059821526431556,0.00014811711209834977,0.0012507256271066833,0.002590738612545208,9.957690692705498e-05
Salmonella,0.0,0.0,2.8900287570997825e-05,0.0,0.0
Scardovia,0.0,0.0,1.576379322054427e-06,0.0,0.0
Schaalia,0.0,0.0,0.0,3.865287170912638e-05,0.0
Segatella,3.686962576324315e-06,8.768032005821973e-06,1.1822844915408202e-06,2.131885192204393e-05,2.9287325566780877e-05
Sellimonas,2.3239036844710834e-05,2.176350801445097e-05,3.8095833616315317e-06,1.2153738011632521e-05,1.2551710957191805e-06
Shigella,0.0,0.0,0.0,1.3946912472365189e-05,0.0
Solobacterium,0.0,0.0,0.0,6.973456236182594e-06,0.0
Staphylococcus,0.0,3.6011560023911676e-06,2.2332040395771047e-06,1.9924160674807413e-06,0.0
Stomatobaculum,0.0,1.0960040007277466e-06,0.0,0.0,0.0
Streptococcus,6.714740934457313e-05,0.00032081602821302184,1.1166020197885524e-05,9.444052159858714e-05,1.0878149496232897e-06
Stutzerimonas,0.0,0.0,2.758663813595247e-06,0.0,0.0
Subdoligranulum,7.0387467366191465e-06,1.5344056010188452e-05,5.911422457704101e-06,8.487692447467958e-05,0.0
Sutterella,1.0055352480884496e-06,3.914300002599095e-06,0.0,1.7931744607326671e-06,1.3388491687671258e-06
Trueperella,0.0,1.0960040007277466e-06,0.0,0.0,0.0
Turicibacter,0.0,0.0,0.0,1.1755254798136374e-05,0.0
Turicimonas,0.0,1.7222920011436018e-06,0.0,0.0,0.0
Veillonella,3.0166057442653487e-05,0.00012744960808462656,1.576379322054427e-05,5.200205936124735e-05,1.589883387910962e-06
Victivallis,7.485651291325125e-06,0.0001648703161094739,4.4664080791542094e-06,0.0,0.0
Weissella,0.0,2.9748680019753122e-06,0.0,0.0,0.0
