Taxon,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
Acetivibrio,1.1060887728972945e-05,3.7577280024951316e-06,5.517327627190494e-06,0.0,0.0
Acinetobacter,0.0,0.0,0.0,0.0,1.171493022671235e-06
Actinomyces,1.117261386764944e-06,0.0,0.0,7.770422663174891e-06,0.0
Acutalibacter,4.502563388662724e-05,0.0,1.2611034576435416e-05,0.0,0.0
Adlercreutzia,6.267836379751335e-05,2.5677808017050064e-05,2.640435364441165e-05,9.962080337403707e-06,7.623072454667822e-05
Aeromicrobium,0.0,1.565720001039638e-06,0.0,0.0,0.0
Agathobacter,0.0004601999652084804,0.0014118097249374417,0.00031186037587976743,0.00043713608520527466,1.171493022671235e-05
Agathobaculum,8.267734262060584e-06,7.515456004990263e-06,1.9836106469184873e-05,2.789382494473038e-06,3.012410629726033e-06
Aggregatibacter,0.0,2.6617240017673847e-06,0.0,0.0,0.0
Akkermansia,0.0016954441544158024,9.394320006237829e-06,0.002005942687314258,0.0,0.0
Alcaligenes,0.0,1.565720001039638e-06,0.0,0.0,0.0
Alistipes,0.0013954594720694152,0.06574364341165378,0.0005163955929163293,0.07022927927138141,0.0491790260575193
Allisonella,0.0,0.0,0.0,0.0,0.0002604898413982539
Alloprevotella,0.0,4.4153304029317796e-05,0.0,0.0,0.0
Amedibacillus,0.0,2.1920080014554933e-06,0.0,0.0,0.0
Anaerobutyricum,0.0014973537105423779,0.0001310507640870177,0.00030752533274411775,0.0,0.0
Anaerococcus,0.0,0.0,0.0,9.364355517159484e-06,0.0
Anaerofustis,2.0110704961768993e-06,0.0,1.0509195480362845e-06,0.0,0.0
Anaeroglobus,3.016605744265349e-06,0.0,1.0509195480362845e-06,1.1954496404884448e-06,0.0
Anaerostipes,0.0017230405106688966,3.929957202609492e-05,0.000563161512803944,0.00028093066551478454,0.00013530744411852764
Anaerotignum,0.005209119489652875,0.00021747850814440574,0.002532059286049923,3.068320743920342e-05,2.4266641183904153e-06
Anaerotruncus,0.0033717831391179244,0.0002686775521784019,0.0022497560224586763,9.065493107037373e-05,3.6148927556712394e-05
Bacteroides,0.22826968500044187,0.2979303686738258,0.40771947699412314,0.2057623860537251,0.3793780577013868
Barnesiella,0.0,0.0021899725654541415,0.0,1.2153738011632521e-05,0.0001874388836273976
Bifidobacterium,1.6870646940150654e-05,5.9340788039402285e-05,0.00038240335054170305,8.507616608142765e-05,0.0
Bilophila,0.0,0.0007388632684906052,0.0,5.3795233821980016e-05,6.694245843835629e-06
Blautia,0.0003459041253424266,0.00034398868422840846,0.00014148004415438483,0.0004644321853297608,0.00019605772515133597
Brevibacterium,0.0,0.0,1.0509195480362845e-06,0.0,0.0
Butyricicoccus,7.597377430001619e-06,1.9414928012891512e-05,7.750531666767598e-06,1.2153738011632521e-05,0.0
Butyricimonas,0.0,1.3465192008940888e-05,0.0,0.00015540845326349783,1.3388491687671258e-05
Campylobacter,1.1507792283678923e-05,0.0,4.9918678531723515e-06,0.0,2.0082737531506887e-06
Christensenella,0.0,0.0,1.3136494350453557e-06,7.969664269922965e-06,0.0
Citrobacter,0.0,0.0,0.0,7.571181056426817e-06,0.0
Cloacibacillus,0.0,4.384016002910987e-06,0.0,2.2514301562532376e-05,0.0
Clostridioides,5.8097592111777086e-06,6.732596004470444e-06,2.3645689830816404e-06,3.187865707969186e-06,0.0
Clostridium,0.007895797946406534,0.0008818135045855241,0.004343581856977469,0.00025682243109826757,0.0001134674670530139
Colibacter,1.3407136641179328e-06,0.0,0.0,0.0,0.0
Collinsella,0.0,0.0,0.0,1.5540845326349782e-05,2.2593079722945246e-06
Coprobacillus,4.692497824412764e-06,1.7222920011436018e-06,2.3645689830816404e-06,0.0,0.0
Coprobacter,6.75943138992791e-05,7.812942805187794e-05,6.082196884259997e-05,1.7931744607326672e-05,3.096088702773978e-05
Coprococcus,2.3015584567357847e-05,8.454888005614046e-05,4.597773022658745e-06,0.0002801336990877922,0.0
Corynebacterium,2.9048796055888543e-06,8.924604005925938e-06,9.19554604531749e-06,4.184073741709558e-06,0.0
Culturomica,2.6814273282358655e-06,3.4445840022872037e-06,3.8095833616315317e-06,9.364355517159484e-06,9.27989830101714e-05
Cuneatibacter,3.3964746157654295e-05,0.0,9.983735706344703e-06,0.0,1.2551710957191805e-06
Cutibacterium,1.2289875254414383e-05,3.1470972020896724e-05,4.243087675196499e-05,3.666045564164564e-05,5.8993041498801475e-05
Delftia,0.0,0.0,0.0,1.9924160674807413e-06,0.0
Dellaglioa,0.0,0.0,0.0,1.1954496404884448e-06,0.0
Desulfitobacterium,0.0,0.0,6.5682471752267784e-06,0.0,0.0
Desulfovibrio,0.0,0.0021309449214149474,0.0,0.0,0.0
Dialister,0.007593690467425295,0.0,0.004521975450256628,0.006174895876336313,7.614704647363028e-06
Dorea,0.0001656898636572412,0.000268051264177986,4.387589113051488e-05,1.3747670865617116e-05,0.0
Ectopseudomonas,0.0,2.1920080014554933e-06,1.129738514139006e-05,0.0,0.0
Eggerthella,4.212075428103839e-05,1.565720001039638e-05,4.137995720392871e-05,1.593932853984593e-05,0.0
Eisenbergiella,0.00030590616769624165,1.6283488010812235e-05,0.00026759038991873896,4.104377099010327e-05,2.34298604534247e-06
Emergencia,0.0,0.0001224393040812997,0.0,1.653705336009015e-05,0.0
Enterobacter,0.0,2.2389796014866824e-05,0.0,1.1954496404884448e-06,0.0
Enterocloster,0.03852451332931939,0.0005226373363470312,0.029686769487759477,0.0005397455126805329,0.02929653015481615
Enterococcus,2.4579750508828768e-06,1.3621764009044852e-05,0.0,0.0,2.761376410582197e-06
Escherichia,0.00039841541052037903,0.0003691967762451467,0.0027907168598103535,0.0026319816251420595,4.518615944589049e-06
Eshraghiella,0.0,5.636592003742697e-06,0.0,0.0,0.0
Eubacterium,6.703568320589664e-05,0.0003566710162368295,1.5501063333535196e-05,0.0007804293736322064,0.0
Extibacter,3.351784160294832e-06,0.0,1.9704741525680337e-06,0.0,0.0
Faecalibacterium,0.006435537313904754,0.015290664958153002,0.00282854996353966,0.024370635612604184,0.002750498261085964
Faecalitalea,0.0,3.28801200218324e-06,0.0,3.38710731471726e-06,0.0
Flavonifractor,0.0031840832261414136,0.0002877793361910855,0.0034342737180390734,0.0001077897092507081,1.6149868098253455e-05
Frisingicoccus,6.927020597942653e-06,2.8182960018713487e-06,2.2332040395771047e-06,0.0,0.0
Fructilactobacillus,3.2400580216183376e-06,0.0,0.0,0.0,0.0
Fusicatenibacter,0.00039997957646184995,0.00013997536809294363,0.0002467033639015178,0.0002669837530424193,1.3388491687671258e-06
Gabonia,3.686962576324315e-06,7.358884004886299e-06,0.0,7.571181056426817e-06,0.0
Gabonibacter,0.0,0.0,0.0,0.0,1.548044351386989e-05
Gemella,0.0,0.0,0.0,7.571181056426817e-06,0.0
Gemmiger,7.0387467366191465e-06,3.334983602214429e-05,3.2841235876133892e-06,0.00012352979618380597,2.8952613274589095e-05
Gordonibacter,5.3963724980746793e-05,1.2212616008109178e-05,3.205304621510668e-05,4.781798561953779e-06,0.0
Granulicatella,0.0,0.0,0.0,8.567389090167188e-06,0.0
Haemophilus,0.0,0.000549411148364809,4.755410954864188e-05,4.443087830482053e-05,0.0
Hallella,0.0,0.0,1.1822844915408202e-06,0.0,6.468315046606176e-05
Holdemanella,3.5752364376478206e-06,1.7222920011436018e-06,1.0509195480362845e-06,1.394691247236519e-06,0.0
Holdemania,0.00020557609516474968,0.00015062226410001318,8.223445463383927e-05,6.893759593483365e-05,0.0
Hoylesella,0.0,2.0354360013515293e-06,0.00010482922491661938,0.0,8.317600460965769e-05
Hungatella,0.0004646690107555402,6.200251204116967e-05,0.00025826347892991694,0.00020462113013027214,0.003739991474877918
Intestinibacter,1.7876182188239103e-06,7.202312004782335e-06,0.0,5.8577032383933797e-05,1.2551710957191805e-06
Intestinimonas,0.0017284033653253684,0.00030562854420293733,0.0004840798168142136,0.0018051289571375515,0.00010526701589431526
Johnsonella,2.0110704961768993e-06,0.0,1.9704741525680337e-06,0.0,0.0
Klebsiella,2.569701189559371e-06,3.209726002131258e-05,0.0002451269845794634,1.055980515764793e-05,0.0
Lactobacillus,4.469045547059776e-06,1.236918800821314e-05,0.0,0.0,0.0
Lactococcus,2.3015584567357843e-05,1.3308620008836923e-05,2.3645689830816404e-06,0.0001593932853984593,0.0
Lactonifactor,1.854653902029807e-05,1.7222920011436018e-06,8.144626497281206e-06,8.16890587667104e-06,6.443211624691792e-06
Lancefieldella,0.0,0.0,0.0,3.984832134961483e-06,0.0
Leuconostoc,0.0,0.0,0.0,3.38710731471726e-06,0.0
Leyella,0.0,1.4874340009876562e-05,1.3136494350453557e-06,3.8254388495630234e-05,6.359533551643848e-06
Limosilactobacillus,0.0,3.28801200218324e-06,0.0,0.0,0.0
Longicatena,4.692497824412764e-06,1.3308620008836923e-05,2.2332040395771047e-06,4.223922063059172e-05,0.0
Marvinbryantia,0.0,4.853732003222878e-06,0.0,1.9924160674807413e-06,0.0
Massilioclostridium,0.0002412167334025514,2.9748680019753122e-06,0.00013832728551027595,1.653705336009015e-05,0.0
Mediterraneibacter,0.00010066525094752144,7.82860000519819e-06,6.712748613081769e-05,1.2751462831876745e-05,8.911714779606181e-05
Merdibacter,1.3407136641179328e-06,1.1429756007589357e-05,0.0,3.7855905282134084e-06,3.849191360205486e-06
Micrococcus,1.117261386764944e-06,1.0960040007277466e-06,1.3136494350453557e-06,2.988624101221112e-06,0.0
Mobiluncus,0.0,1.4091480009356743e-06,0.0,0.0,0.0
Monoglobus,0.0002729469567866758,0.00034383211222830453,0.00021675215678248368,0.00038314160977654657,0.0
Morganella,0.0,0.0,4.203678192145138e-06,1.7931744607326671e-06,0.0
Murdochiella,2.234522773529888e-06,0.0,3.021393700604318e-06,2.988624101221112e-06,0.0
Muribaculum,0.0,2.0667504013723224e-05,0.0,3.7855905282134084e-06,9.037231889178098e-06
Muricomes,0.0,1.2525760008317104e-06,0.0,0.0,0.0
Murimonas,0.0,4.227444002807023e-06,0.0,1.1954496404884448e-06,0.0
Neglectibacter,5.698033072501214e-06,3.695099202453546e-05,6.305517288217708e-06,9.304583035135061e-05,6.024821259452066e-06
Neisseria,0.0,0.0,5.517327627190494e-06,0.0,0.0
Nocardioides,0.0,1.565720001039638e-06,0.0,0.0,0.0
Odoribacter,2.1227966348533934e-06,2.3485800015594572e-06,2.101839096072569e-06,0.0,1.4225272418150712e-06
Oribacterium,0.0,0.0,0.0,2.590140887724964e-06,0.0
Oxalobacter,0.0,0.00011100954807371034,0.0,0.00020003857317506642,0.0
Pantoea,0.0,5.0103040033268416e-06,0.0,0.0,0.0
Parabacteroides,0.0021074901538547137,0.03283142612980007,0.0021492618406777067,0.016298162673599213,0.0021296906371432575
Paraprevotella,0.0009602861619244694,0.00032175546021364563,0.00035218941353565986,1.5540845326349782e-05,5.6399021234315176e-05
Parascardovia,0.0,1.8788640012475658e-06,0.0,0.0,0.0
Parasutterella,1.5641659414709215e-06,0.0025536893216956498,0.0,0.0,0.0
Peptacetobacter,0.0,1.3465192008940888e-05,0.0,0.0,0.0
