,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
CSM5MCXD,0.0,0.07411949983821073,0.06302868991074648,0.05046471322692641,0.23148905231014308
CSM5MCY2,0.07411949983821073,0.0,0.022754395464736083,0.10351615486868161,0.16562718597504517
CSM67U9J,0.06302868991074648,0.022754395464736083,0.0,0.10623758791807998,0.17338680033706366
CSM67UAW,0.05046471322692641,0.10351615486868161,0.10623758791807998,0.0,0.26249375355431614
CSM67UB9,0.23148905231014308,0.16562718597504517,0.17338680033706366,0.26249375355431614,0.0
