,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
CSM5MCXD,0.0,0.2868274566280596,0.20454032432386443,0.24850816279624136,0.18913685248692233
CSM5MCY2,0.2868274566280596,0.0,0.20854375492313543,0.16328486714899892,0.2189496641210551
CSM67U9J,0.20454032432386443,0.20854375492313543,0.0,0.2935208739411136,0.1791638567656405
CSM67UAW,0.24850816279624136,0.16328486714899892,0.2935208739411136,0.0,0.2922356681047884
CSM67UB9,0.18913685248692233,0.2189496641210551,0.1791638567656405,0.2922356681047884,0.0
