,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
CSM5MCXD,0.0,0.16408774731707945,0.06262060321470574,0.20261677471616754,0.17385507135230815
CSM5MCY2,0.16408774731707945,0.0,0.19203282815306297,0.08435731213360971,0.21825960033272368
CSM67U9J,0.06262060321470574,0.19203282815306297,0.0,0.22996495519675736,0.12117792530144357
CSM67UAW,0.20261677471616754,0.08435731213360971,0.22996495519675736,0.0,0.2639914202354762
CSM67UB9,0.17385507135230815,0.21825960033272368,0.12117792530144357,0.2639914202354762,0.0
