Taxon,mean,SD,minimum,maximum,non_zero_count
Acidaminococcaceae,0.0016791814752385634,0.0025674635656633017,0.0,0.0058135183638601765,2
Actinomycetaceae,4.304523858627929e-05,8.208959794287136e-05,2.2332040395771047e-06,0.0001894787680174185,5
Acutalibacteraceae,1.1527333692612531e-05,1.9506081036925667e-05,0.0,4.502563388662724e-05,2
Akkermansiaceae,0.0010330613665128154,0.0014183854690799165,0.0,0.0027918991443018947,3
Alcaligenaceae,3.131440002079276e-07,7.002112712111344e-07,0.0,1.565720001039638e-06,1
Anaerotignaceae,0.0015983534310809594,0.002281492158749067,2.4266641183904153e-06,0.005209119489652875,5
Anaerovoracaceae,2.779527148827797e-05,5.3390007801582245e-05,0.0,0.0001224393040812997,2
Atopobiaceae,7.969664269922965e-07,1.7820711065398982e-06,0.0,3.984832134961483e-06,1
Bacteroidaceae,0.6911045855187631,0.11950243233107197,0.5447536497077524,0.8630319645218358,5
Barnesiellaceae,0.0013906781886294764,0.0027741518477753598,7.969664269922966e-05,0.006352282616217915,5
Bifidobacteriaceae,0.00011823496233585818,0.0001555499626700022,2.2593079722945246e-06,0.0003850306494117938,5
Brevibacteriaceae,2.101839096072569e-07,4.6998550965849755e-07,0.0,1.0509195480362845e-06,1
Butyricicoccaceae,1.7906622924443294e-05,1.0053137537403543e-05,3.012410629726033e-06,2.758663813595247e-05,5
Campylobacteraceae,3.7015867780003926e-06,4.818518133204778e-06,0.0,1.1507792283678923e-05,3
Carnobacteriaceae,1.7134778180334375e-06,3.831452879060781e-06,0.0,8.567389090167188e-06,1
Christensenellaceae,1.3496805365618409e-05,2.1376668869623926e-05,0.0,4.9633324032956524e-05,3
Clostridiaceae,0.019267782388280898,0.01587475423304793,0.0013618606388553108,0.0383908792794265,5
Comamonadaceae,3.9848321349614824e-07,8.910355532699491e-07,0.0,1.9924160674807413e-06,1
Coprobacillaceae,0.0003161383861545747,0.00020255276883675646,9.463990061722621e-05,0.0005530464121540948,5
Coriobacteriaceae,0.0020443855757160856,0.001668213863964709,0.0008908092237706394,0.004973824241600177,5
Corynebacteriaceae,5.041820679708368e-06,3.970253250785715e-06,0.0,9.19554604531749e-06,4
Desulfitobacteriaceae,1.3136494350453557e-06,2.93740943536561e-06,0.0,6.5682471752267784e-06,1
Desulfovibrionaceae,0.0005860595339142736,0.0012768524680341193,0.0,0.0028698081899055524,3
Dethiosulfovibrionaceae,7.739637020136878e-07,1.0600917783538453e-06,0.0,1.9704741525680337e-06,2
Eggerthellaceae,9.34172752520456e-05,5.4349079861092705e-05,4.3036187057584014e-05,0.00017663902524753765,5
Enterobacteriaceae,0.0013255235511955038,0.001442490583279803,4.518615944589049e-06,0.003101789046029094,5
Enterococcaceae,3.768223094101985e-06,5.661752584561924e-06,0.0,1.3621764009044852e-05,3
Erwiniaceae,1.0020608006653683e-06,2.24067606787563e-06,0.0,5.0103040033268416e-06,1
Erysipelotrichaceae,0.02065286671676376,0.013033212102260166,0.0033948194235551435,0.03380624275111821,5
Eubacteriaceae,0.0018795757431795319,0.0018284979829381654,0.00018325497997500034,0.0047941515415721595,5
Eubacteriales_Family_XIII._Incertae_Sedis,1.51011991632909e-05,2.1369972705693662e-05,0.0,5.180281775449928e-05,4
