Taxon,mean,SD,minimum,maximum,non_zero_count
Fusobacteriaceae,3.1728324416091605e-06,3.8977883109882405e-06,0.0,9.962080337403707e-06,4
Gemellaceae,1.5142362112853633e-06,3.3859351024258066e-06,0.0,7.571181056426817e-06,1
Lachnospraceae,0.10190141387756038,0.02814001616177384,0.06313502243660173,0.14253920218822347,5
Lactobacillaceae,6.184745707251101e-06,7.68649248976979e-06,0.0,1.8632068012371692e-05,3
Micrococcaceae,5.268401118987853e-06,6.183185873687313e-06,0.0,1.315204800873296e-05,4
Monoglobaceae,0.0002433345671148021,0.0001503670471427883,0.0,0.00038314160977654657,4
Moraxellaceae,2.3429860453424702e-07,5.239076067719168e-07,0.0,1.171493022671235e-06,1
Morganellaceae,1.1993705305755612e-06,1.8502659701834082e-06,0.0,4.203678192145138e-06,2
Muribaculaceae,6.698065286222946e-06,8.643315121103965e-06,0.0,2.0667504013723224e-05,3
Neisseriaceae,1.1034655254380989e-06,2.4674239257071126e-06,0.0,5.517327627190494e-06,1
Nocardioidaceae,6.262880004158552e-07,1.4004225424222688e-06,0.0,3.131440002079276e-06,1
Odoribacteraceae,0.003876076055046998,0.005595203210489289,1.2848505947796855e-05,0.012588682439163567,5
Oscillospraceae,0.08294400879700511,0.059854333636098885,0.009240736962830702,0.1732174650410677,5
Oxalobacteraceae,6.248856249920265e-05,9.134327775385423e-05,0.0,0.00020143326442230295,2
Pasteurellaceae,0.00012931260244434045,0.00023884280167059768,0.0,0.0005545780243682399,3
Peptoniphilaceae,4.991778725456168e-06,7.41222343725053e-06,0.0,1.77325030005786e-05,3
Peptostreptococcaceae,0.001111430156904981,0.0014412231867834086,1.2551710957191805e-06,0.002727011592815875,5
Porphyromonadaceae,1.0615293260122159e-05,7.410000208062008e-06,1.9704741525680337e-06,1.8788640012475658e-05,5
Prevotellaceae,0.0005484811343360896,0.0002616834359129125,0.000271566309997625,0.0009657607427196175,5
Propionibacteriaceae,9.12850397613314e-05,4.8676909091237516e-05,4.243087675196499e-05,0.00016848301712415353,5
Pseudomonadaceae,3.5314409914752947e-06,6.086572504233014e-06,0.0,1.4056048954985306e-05,2
Rikenellaceae,0.03849536093049719,0.03524174691465742,0.0005163955929163293,0.0723043806056626,5
Sphingomonadaceae,1.565720001039638e-06,3.501056356055672e-06,0.0,7.82860000519819e-06,1
Staphylococcaceae,1.5653552218898028e-06,1.5551175010596858e-06,0.0,3.6011560023911676e-06,3
Streptococcaceae,0.0002202719544175459,0.0002473517347488869,3.932869433253432e-06,0.0005677300723769728,5
Sutterellaceae,0.0005130055277036904,0.0011439282524066433,0.0,0.0025593259136993925,4
Synergistaceae,2.838123937670793e-05,5.2154679145307126e-05,0.0,0.0001201426888690887,2
Tannerellaceae,0.01241381231633784,0.014754369945555615,0.002274058537007015,0.03542441502352181,5
Turicibacteraceae,6.765890904441705e-06,1.1733298681910506e-05,0.0,2.709685851773808e-05,2
Veillonellaceae,0.004089090104218095,0.0033423363455283377,0.00039784945226417205,0.008034338358365388,5
Victivallaceae,3.536447509599065e-05,7.246546490630552e-05,0.0,0.0001648703161094739,3
