Taxon,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
Actinomycetales,2.234522773529888e-06,1.4561196009668635e-05,2.2332040395771047e-06,0.00014305547364511722,3.0960887027739782e-06
Bacteroidales,0.02964965922969073,0.05762820350226512,0.0247403539050397,0.034771246726460404,0.02041744982369867
Bifidobacteriales,3.686962576324315e-06,5.9497360039506245e-06,1.0509195480362845e-06,3.1081690652699564e-05,2.2593079722945246e-06
Burkholderiales,0.0,0.0,0.0,1.394691247236519e-06,0.0
Christensenellales,0.0,4.9633324032956524e-05,0.0,8.567389090167188e-06,0.0
Coriobacteriales,0.004973824241600177,0.001617858477074258,0.0016218315925069962,0.0008752683784442897,0.0011153450356560638
Eggerthellales,1.7876182188239104e-05,0.0,1.6289252994562413e-05,1.2352979618380597e-05,1.5062053148630165e-06
Enterobacterales,2.9048796055888543e-06,2.2859512015178715e-05,3.5205804859215536e-05,2.1916576742288155e-06,0.0
Erysipelotrichales,0.03313607338709074,0.012935508932589178,0.03427140601606777,0.02041588896026166,0.003485610132812164
Eubacteriales,0.08819862494172086,0.08875158568293105,0.08637823041174633,0.16878194839164207,0.007775952294126419
Fusobacteriales,2.234522773529888e-06,1.565720001039638e-06,2.101839096072569e-06,9.962080337403707e-06,0.0
Lachnosprales,0.09707694255164848,0.09877235026158485,0.06620911381077747,0.09752099608051912,0.029649065876567144
Lactobacillales,2.4803202786181757e-05,0.000233605424155114,1.2479669632930879e-05,0.00013488656776844619,2.8450544836301424e-06
Pasteurellales,0.0,2.5051520016634208e-06,0.0,0.0,0.0
Peptostreptococcales,0.0027194142153858735,8.611460005718009e-06,0.002625065666051134,7.511408574402394e-05,0.0
Propionibacteriales,0.00015619314186973916,5.542648803680319e-05,0.0,6.296034773239143e-05,0.0
Sphingomonadales,0.0,7.82860000519819e-06,0.0,0.0,0.0
Synergistales,0.0,1.7379492011539984e-05,0.0,9.762838730655633e-05,0.0
Veillonellales,0.00040612451408905713,0.0002703998441795455,0.0002837482779697969,5.69830995299492e-05,0.0006359533551643847
Verrucomicrobiales,0.0006685692138401425,0.0,0.0007859564569876363,0.0,0.0
