Taxon,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
Actinomycetota,0.00515381505100801,0.0016937958971246804,0.001641404969089172,0.0011247188700928784,0.0011222066376459952
Bacteroidetes,0.029650664764938817,0.05763227437426783,0.024741667554474746,0.03477244217610089,0.02041744982369867
Firmicutes,0.2215619828127212,0.2010216949294784,0.18978004385224542,0.2869943845745554,0.04154942671315374
Fusobacteriota,2.234522773529888e-06,1.565720001039638e-06,2.101839096072569e-06,9.962080337403707e-06,0.0
Pseudomonadota,2.9048796055888543e-06,3.319326402204033e-05,3.5205804859215536e-05,3.5863489214653347e-06,0.0
Saccharibacteria,1.4524398027944271e-06,0.0,1.0509195480362845e-06,5.77800659569415e-06,0.0
Synergistota,0.0,1.7379492011539984e-05,0.0,9.762838730655633e-05,0.0
Verrucomicrobiota,0.0006685692138401425,0.0,0.0007859564569876363,0.0,0.0
