Taxon,mean,SD,minimum,maximum,non_zero_count
Actinomycetales,3.3036097034133367e-05,6.172427498638743e-05,2.2332040395771047e-06,0.00014305547364511722,5
Bacteroidales,0.033441382637430926,0.014547153805660606,0.02041744982369867,0.05762820350226512,5
Bifidobacteriales,8.805723350661063e-06,1.2585404554028695e-05,1.0509195480362845e-06,3.1081690652699564e-05,5
Burkholderiales,2.789382494473038e-07,6.237248872889644e-07,0.0,1.394691247236519e-06,1
Christensenellales,1.1640142624624742e-05,2.156039429587703e-05,0.0,4.9633324032956524e-05,2
Coriobacteriales,0.002040825545056357,0.001671225307126379,0.0008752683784442897,0.004973824241600177,5
Eggerthellales,9.604924023209025e-06,8.344003613262284e-06,0.0,1.7876182188239104e-05,4
Enterobacterales,1.2632370830842384e-05,1.5631408367463637e-05,0.0,3.5205804859215536e-05,4
Erysipelotrichales,0.020848897485764302,0.013185516574579807,0.003485610132812164,0.03427140601606777,5
Eubacteriales,0.08797726834443334,0.056931653985561985,0.007775952294126419,0.16878194839164207,5
Fusobacteriales,3.1728324416091605e-06,3.8977883109882405e-06,0.0,9.962080337403707e-06,4
Lachnosprales,0.07784569371621941,0.030220888206976042,0.029649065876567144,0.09877235026158485,5
Lactobacillales,8.17239837652606e-05,0.00010018840764321718,2.8450544836301424e-06,0.000233605424155114,5
Pasteurellales,5.010304003326842e-07,1.120338033937815e-06,0.0,2.5051520016634208e-06,1
Peptostreptococcales,0.00108564108543735,0.0014490356169790915,0.0,0.0027194142153858735,4
Propionibacteriales,5.491599552778676e-05,6.394053038914074e-05,0.0,0.00015619314186973916,3
Sphingomonadales,1.565720001039638e-06,3.501056356055672e-06,0.0,7.82860000519819e-06,1
Synergistales,2.3001575863619264e-05,4.2390996360102786e-05,0.0,9.762838730655633e-05,2
Veillonellales,0.0003306418181865467,0.00021191387745707663,5.69830995299492e-05,0.0006359533551643847,5
Verrucomicrobiales,0.0002909051341655557,0.00040049449451771003,0.0,0.0007859564569876363,2
