,RF,pgm,pgi,gapC,zwf,rpe,WT_0_5,WT_0_7
b3295,17.53185627,12.61603646,31.93714209,17.40169157,11.22937667,12.59096899,31.82840209,38.26552983
b3302,17.56824836,22.93280701,22.97447249,18.94019119,14.96093312,12.66789587,12.38088605,22.24564141
b2607,20.529532,24.10977137,28.25330267,16.23507926,17.63900389,15.16991092,17.89195383,28.14210007
b3735,19.35859768,22.33354668,13.36603175,19.82949683,22.67555077,14.32076694,26.26739767,25.90040248
b4143,16.09739327,14.19592235,11.61919521,15.93210185,16.44830346,15.81198079,16.1649783,15.34987777
b1817,19.096935,19.24766186,14.95007863,20.5919898,21.64498151,9.464010932,30.57576954,8.393346674
b2601,20.90936798,6.885640062,47.7026556,4.54550066,5.141898309,32.21425625,5.03821969,11.43158607
b2587,21.8917217,19.11615094,14.88437542,23.76108037,19.38873064,14.88808953,10.23435423,9.974950349
b0177,19.35396127,18.59042453,15.56638159,23.71673801,10.18250735,15.86766961,19.14156475,19.73683244
b0073,18.9562384,16.42526622,31.37121418,22.16413193,26.62430982,9.255915497,21.76627229,16.36888848
b3304,15.3337195,19.79491062,18.0992627,27.66048097,11.7388275,7.048012705,26.67988931,29.69436353
b1719,6.499444246,12.73719033,6.47363701,6.80915074,6.32383044,4.98173704,5.803178027,8.646078203
b3984,15.26312157,19.42935934,18.815627,10.70776542,8.454003725,6.962405312,28.32087208,42.62318748
b2414,18.14883919,25.42217467,29.56695425,15.83618015,17.4114974,9.68777503,28.24912542,34.88994003
b3303,7.218120223,6.077619149,7.90252832,10.27754769,4.90012104,10.78064937,13.57306402,7.160524617
b2096,19.12161906,18.25435849,19.03509664,33.99574755,32.01166574,17.81629675,17.3668507,5.855264604
b2925,14.26008224,11.66569087,14.20505419,12.938378,14.71269151,10.93415491,19.48859773,27.51723239
b0431,15.28789252,10.46637553,23.22795662,14.51724744,23.65291477,11.54026061,19.72973653,22.77148509
b4142,6.695453406,5.199668576,6.265023662,9.421776045,7.298402266,6.942644322,7.007798748,4.451624934
b2742,20.72114982,25.16960502,15.00014539,21.2283643,39.67981265,21.46378414,9.935585722,10.58067352
b0126,12.37966523,24.0917203,39.65124395,19.34045798,25.67822717,10.64410714,14.43469731,36.30848178
b0811,21.6350084,24.76801569,8.300663219,21.02137621,20.24867791,21.40506891,8.80213633,5.984471819
b0904,17.84279833,23.01350758,15.45429299,15.97913612,20.06087991,22.47977655,17.15638611,12.12935884
b1092,17.44563721,17.20397958,21.8583052,15.48334658,16.29800316,14.29908331,19.38845045,18.20444927
b3983,15.47069507,11.93793948,21.32450279,9.319836117,16.70437721,8.372500529,29.72697818,26.2218754
b1006,13.99150922,12.27205738,7.239722863,19.14865275,14.43072897,29.45498827,8.319744463,6.570291105
b0911,15.70630389,20.81149779,20.62332005,16.21466264,14.45028522,5.983964232,25.70104226,26.6836341
b1716,16.43081151,20.90482014,16.2522002,16.83273452,18.96244762,8.485539013,18.51594578,21.37027863
b0071,18.61957888,24.39086777,13.36995016,22.50750997,21.71387486,8.918583832,17.67253981,12.48840502
b1101,20.55206391,19.41359747,9.937584834,11.23092551,17.25140107,7.534531122,23.13094744,19.25384203
b4172,18.34538303,15.41734708,13.17113214,17.86344292,15.11506404,16.68022285,15.86736211,15.56123645
b3733,18.53085538,13.16961756,25.82117731,24.91575648,12.11369498,9.141228164,21.12203351,19.89030882
b1002,22.79090705,19.20140238,11.85343117,22.68175792,9.672986887,22.34122582,7.270311024,2.268454545
b1051,17.69841201,27.25726476,16.83130727,9.023108785,18.02863911,30.22596507,8.689305844,7.088645865
b3314,15.29123056,12.74708466,24.97140082,19.20322481,13.65210391,6.062065953,22.00706914,26.20955275
b0740,6.67297061,13.14109327,5.39139208,9.298168879,4.714481787,9.104115209,8.341349658,5.762445291
b1718,17.47251449,24.60216669,22.51526979,10.31219236,22.41827744,12.29783791,17.57518983,15.65932116
b0004,16.74510277,17.39879693,15.64782231,16.60388741,17.20835289,7.579402699,24.00165787,31.94069261
b0449,14.81200502,15.48373367,12.20945167,18.43052361,16.45321816,15.00021615,12.4177333,13.50247695
b0755,13.54203786,12.86406382,10.01619866,16.87588352,10.24786547,14.8661919,12.92933567,13.24866755
b3509,18.48788243,18.11028417,15.75688506,9.116040089,16.21540721,21.90906091,15.23271656,12.39189223
b1712,18.46185081,13.98488393,19.16998254,12.57404837,14.32478965,13.37555299,9.230883827,9.849310883
b0118,20.01186104,15.56020157,18.72146455,19.56845042,13.67703445,8.451230266,12.13199417,8.779311395
b2280,15.48007072,8.381589718,14.73931241,13.70690977,14.37249526,9.248271842,23.04379341,12.94654804
b2572,17.74083036,17.96728917,13.99222586,16.57706718,12.72089833,17.55973162,6.291658439,6.413305426
b1824,16.43627372,8.61133166,12.94967397,17.76623452,15.95531638,17.7257007,13.99978484,14.21557795
b3403,17.69907051,13.89843493,7.457364613,20.49326179,17.76131484,22.51808035,13.78917387,5.290223443
b4177,13.02881545,12.39889834,12.06231751,16.13330297,20.11083094,26.26249475,18.78061852,13.12557148
b0723,18.00311062,14.66117124,20.97957166,28.60190045,9.814364154,14.51831018,15.14767147,12.36049179
b1739,18.47887628,22.97219881,10.56900139,6.491593426,12.39285773,39.44589234,7.69071233,5.682048582
b4189,24.6206978,7.26741551,2.523554533,2.692472633,7.869089506,41.24760884,1.176438327,0.487994488
b1237,15.1605751,12.92231793,12.39114822,24.72420963,11.57590795,14.2370342,13.15949112,12.64367394
b3202,17.49299581,15.29877204,13.91543781,14.33853129,14.66868701,13.38546659,11.1528828,9.251803199
