,RF,pgm,pgi,gapC,zwf,rpe,WT_0_5,WT_0_7
b1060,1.010380462,0.365554462,0.504303048,2.131134199,0.376173955,0.327408131,0.741155322,1.995013706
b1120,4.421046248,3.752553353,4.359552856,4.144278303,5.194541436,4.925220291,3.743128526,3.634419064
b1246,3.917876857,3.092168723,3.746239826,3.915962117,3.031260205,1.705521036,5.815838534,4.601791098
b3766,3.435513795,4.891387486,7.206077866,3.035460603,3.428518998,4.529514423,2.45692484,3.9404391
b4135,4.670742105,4.355828301,5.542286553,3.054328458,3.595903466,8.172153327,2.138118809,1.892263586
b3843,4.251996211,4.347279847,4.673012103,4.023078723,3.842875475,4.844523804,3.320304355,3.705570993
b0196,4.211525783,4.257904097,4.696559704,5.199371677,5.133157824,2.216478915,6.451793318,7.740410499
b1416,3.868808206,5.313812452,5.672733172,7.267232261,4.705652583,3.316258345,2.078706992,4.232401366
b1908,2.109627731,3.089794188,1.831609781,2.152145746,3.588119349,2.652068905,2.095313452,1.632743532
b2630,4.556658933,4.086120352,3.984968692,3.848824834,4.158726558,3.967382781,3.395693977,2.677452023
b3926,4.902200499,5.013240418,5.632081174,5.797105301,4.622396054,4.445451102,0.960326281,0.399116227
b2901,4.280326893,4.918764126,5.638166042,3.814314599,3.795718719,4.211523964,4.733333805,4.088078279
b3783,3.513944578,3.994203276,5.311887819,4.87833367,5.103579769,2.998205704,6.665066429,8.334443056
b2962,3.455104967,3.830277682,4.439119793,5.407292242,3.419671726,3.557268655,3.579050069,3.957637997
b3359,3.757398716,4.049116074,7.336795355,4.363774008,5.265233272,1.073751321,8.574424979,9.683319319
b1840,3.046655908,5.001313668,3.702814474,3.911633721,3.633967637,2.589642666,8.059595125,9.957151323
b1564,4.807979117,3.596155751,4.035429782,4.647457259,4.18820894,4.633127334,3.910151025,3.147352611
b2034,0.87137278,1.647682147,0.612545817,0.480948443,0.936513058,1.15583782,1.079641314,1.148730203
b4246,3.736369927,4.017931626,3.185014755,4.045966413,2.676058839,1.25024606,7.113612586,12.24941816
b2953,3.701880257,5.492184744,5.554649502,5.84451682,4.364432972,2.044379412,7.577632268,8.334099912
b0660,4.603138812,4.457220263,4.653576371,3.507219107,3.739775503,4.831690115,4.584861293,5.529613864
b2914,3.686056712,3.928121733,5.147857839,3.815477488,4.450544945,4.369389075,5.225182946,5.710036174
b2783,4.726461309,4.218699697,4.491746683,3.97623657,4.367334445,5.351946593,3.775625053,4.47228721
b0350,3.776848124,3.547628406,2.877888164,4.795005642,3.556669166,2.614007815,4.053515649,4.245304859
b4055,5.130512377,3.800878973,1.655463786,9.119379247,6.19119826,2.916668546,3.446534171,1.064106768
b0968,4.770954895,3.984692297,3.483391828,2.248959435,4.134641801,8.737615342,2.756749146,1.965556365
b3440,3.77959847,5.816073869,3.39076826,3.138394804,3.928204578,4.755751413,2.638514741,3.073871273
b0192,4.718225921,5.217986103,4.819032481,4.88576816,4.839247582,4.140254058,3.254389104,3.224455229
b0369,3.94081124,4.265047492,5.76906165,4.285589687,5.030710957,3.810090156,7.718654602,6.938510679
b2512,4.303791338,4.013326553,5.176999084,3.324997938,4.295424148,4.889647969,3.546038797,4.289733285
b2585,4.600368404,6.058832164,2.531261557,4.507266892,5.372020942,5.300211546,3.751573881,3.847738352
b1953,5.412541149,6.187901631,2.519004855,1.463270643,2.826038101,7.67807518,1.103916862,0.968126005
b2511,3.19782753,4.262919534,3.64131355,3.164922738,2.604437587,4.32945495,2.65936396,2.534162071
b2017,3.703844801,4.810094113,6.014096562,4.207679227,4.477724917,3.376618576,3.865043281,4.875856589
b1538,4.651755256,4.684154394,4.617399224,3.850663264,4.682363182,2.696530323,5.594758052,4.807168228
b2785,4.642464077,4.53666221,3.324450447,4.48462338,4.351298559,4.287305249,3.578788997,3.64005504
b2592,4.48224829,3.190751307,3.264851901,2.824818468,3.573850189,5.633752883,3.862944463,3.541586943
b2330,3.98425503,4.57316874,6.074856344,4.666089723,4.955755835,2.768021109,6.246454125,6.393788184
b3725,1.948609432,1.841722919,2.311778105,1.903067795,1.70273555,2.010272628,1.759015273,1.372616402
b0163,4.875484832,3.755658658,3.394570194,3.427294607,4.329329259,9.022592235,2.79529156,1.64347397
b2524,1.780752801,2.317188911,2.148425954,1.507117,1.097498396,1.840112505,3.465167674,1.783842355
b3249,3.520516445,4.979889906,3.422965692,3.441250583,3.765673588,3.322103885,3.763724231,5.422942564
b3916,4.168288646,3.392232371,5.314729125,2.725027602,3.870458194,5.885820814,7.002896385,4.922829104
b0866,5.091401907,3.416574132,4.008427985,2.65910636,3.821648328,6.12507047,3.523295416,2.50417131
b3729,3.482429904,3.145808401,4.643398171,3.192315574,3.214213226,5.356050346,4.657201137,5.862158769
b3448,5.022170955,5.078735304,2.633046668,1.205104799,2.208170337,7.528215646,1.131796822,1.059593373
b2899,4.569426734,3.751309653,4.836574979,3.897082859,4.069275668,6.395891333,2.60133484,1.91876616
b1919,4.236705625,3.8826501,4.607422695,6.316087013,4.772523374,3.436805123,5.266862315,4.652311485
b2479,3.001807545,4.527818214,8.577398784,3.219770641,4.440011305,3.61813664,6.324214208,6.796758749
b3407,2.884849216,3.254406909,2.900292746,3.031120854,3.403944112,2.108407603,4.063115984,4.494723733
b2014,3.542434529,3.335775355,3.955382705,4.253670016,4.47291542,0.659875004,7.161613391,9.809853532
b3038,4.044950118,6.394288151,5.253511374,4.94236187,4.325578641,3.970486354,6.266299696,5.821031105
b1266,4.729380886,3.773102828,3.423644228,2.754043473,3.199702177,6.569230225,3.502208703,3.295516562
b0120,4.331420173,4.123767688,4.701220528,4.105076499,2.439679135,2.120755621,6.20282624,9.984307019
b2432,4.406258929,6.822814867,4.295561027,5.434145191,6.272712725,3.481121807,3.971028898,3.933110568
b1133,1.777857392,3.428052243,1.752516661,2.1304497,1.085805072,2.414575919,3.022392423,1.296780654
b3622,3.373172739,3.435985565,4.176903524,4.006025876,4.392437586,2.021816647,3.774801159,6.349109672
b0593,3.81780681,5.21504823,4.920089604,3.191184484,3.548348843,1.984674413,5.322470857,8.369133299
b0273,3.879163297,4.07558991,4.792823596,4.540253815,4.782061282,0.829704109,7.321955759,10.48510301
b0415,2.698285556,5.314454201,6.199381744,3.398106853,3.545825443,2.256306903,5.514831467,6.576258269
b0850,4.2544035,3.971173167,4.077187491,4.711446611,5.013133659,3.363657207,6.280461848,5.267600271
b1086,3.155203434,4.042635909,4.534978603,3.239107765,4.296657149,2.979619987,4.882975756,6.190798988
b2689,1.847497885,2.225918938,1.813243312,1.144091523,1.927369215,2.327949258,1.90536801,2.42980411
b1930,2.464306135,1.577909622,1.995927377,2.170723977,1.271102436,1.334021401,0.669000174,2.033879908
b1209,3.916475602,5.570526684,5.827289476,5.104564969,5.160211678,2.625657344,6.298549642,5.893135565
b1248,3.899971939,4.733102225,5.7075754,4.48131546,3.600465326,3.450365503,5.736202345,5.287623037
b3150,3.964578957,4.847679625,3.033711662,4.322360301,3.739034241,2.809217831,3.880970238,4.145303228
b0414,3.860945173,5.426087788,5.359985406,5.378766576,4.66328102,3.186062724,4.381799136,5.299337755
b3619,3.525485288,3.479667693,4.82581342,3.158929636,4.215870301,3.590129616,5.027182367,6.210500515
b1035,3.43434301,3.555839918,4.553346863,3.654235708,3.797554429,2.610732714,3.947228041,3.120646793
b0836,4.108245446,4.274159941,4.879257651,2.181479071,3.654886507,11.06573575,4.910755254,0.477481668
b2097,4.507935587,5.459062495,4.40780721,1.966182897,3.795099078,6.757913328,1.621283173,1.238258563
b4144,3.455657179,2.669096418,3.42676299,3.427348302,4.041793471,3.813451569,3.50214868,2.561778111
b2908,1.784737826,1.387715463,2.177723523,1.516977895,1.367080127,1.971915212,2.003445848,1.529773922
b0829,2.423622181,1.550852106,2.553135861,1.579100395,1.721576793,0.881818876,1.751398124,2.203448939
b3184,4.073668638,3.77348584,3.5709579,4.204551895,4.56552347,3.189211314,3.543934298,4.378617591
b0738,4.111011326,4.067052912,3.533301748,3.460926289,5.075529517,2.385330357,3.631266904,4.666215318
b2147,3.403695167,3.797162724,3.093722096,2.57790051,3.042507367,4.844730377,2.270433406,2.226801374
b1584,3.682904275,5.518711387,4.283323302,7.422793164,5.362181836,4.910284288,6.766961721,8.143629269
b4167,3.762908006,3.73106877,3.368760408,2.541895931,3.163212826,5.245950111,2.480552717,2.706866513
b0890,4.941613982,4.768834836,4.05621434,3.737132892,3.899077463,3.221603268,3.654752261,4.198737933
b0408,4.481595808,4.026683789,4.45119347,4.495872676,5.610450702,2.17726896,4.78291516,5.736389045
b3913,3.696003598,7.173001224,1.172522069,3.499303314,3.962185409,4.795572597,1.883314606,1.940717271
b0606,4.074712887,3.569369461,3.5119396,3.946838401,4.393901275,4.04778457,3.554842636,5.04163901
b0092,4.855157714,3.827183736,3.094107023,2.918654878,4.154221312,3.99217409,2.573971898,2.878748244
b3166,4.122167307,3.911264276,2.886115263,3.961953572,3.434504756,2.071129741,5.609414723,5.926000123
b1213,4.082259663,4.726158003,5.578163118,5.245521682,4.057060147,3.215838704,4.749162062,5.016767642
b2606,4.125927973,3.772068463,3.621334114,3.609676665,4.042740188,1.264060929,5.26121968,7.406812091
b1062,2.798726392,4.353662556,5.335770167,3.029110136,3.570745706,1.302391514,8.16391747,11.77626365
b0437,3.350483381,1.739723052,4.400673514,3.196447257,1.688999036,2.935272558,3.41650485,3.869810521
b3384,2.738653988,2.930030821,4.097477827,2.588473472,2.941302578,5.583780615,4.551436486,3.876265812
b0608,4.498485629,10.61615879,6.781995499,2.432604334,4.168164149,2.489396652,1.290588063,1.228759342
b0642,4.159720126,3.396027777,4.164469891,3.735873281,3.771333482,2.673656458,3.912446366,4.256651068
b2781,4.309511581,3.886478462,4.038214647,2.526185598,2.819895812,6.470022375,2.60316469,2.83648024
b2035,5.479224255,3.525264558,2.712637593,2.784366324,3.442846076,2.624386743,3.006224227,5.130577489
b3385,2.589767126,2.361984445,4.928733449,2.592138155,3.297818975,7.115128312,4.155205864,4.808276076
b4383,2.521138161,2.746022839,1.876229079,2.446203435,2.565044823,3.517242113,2.31808945,2.015173761
b3997,3.402498676,4.611974371,4.15423686,2.824347899,4.059573659,5.153524042,4.688788253,4.817616294
b0172,3.802976052,2.192463932,3.581298442,4.088413183,3.761265645,3.399033143,4.943831828,5.052320599
b2743,3.15627234,3.465557683,3.484803005,2.627337045,2.970611668,4.00125545,2.677801672,3.838467994
b3001,4.205486333,3.358152858,2.711591802,4.850707316,4.686599578,7.01338236,1.635470265,0.456475457
b2687,3.240245052,3.428436516,4.308000768,2.122987666,2.958083704,5.459026683,3.660276684,4.300537093
b0871,3.679080334,3.654125538,3.71761708,2.40977126,3.547451304,3.688926091,1.874502393,1.781235925
b2183,1.886142837,1.747285452,3.242045756,2.910895607,2.965560806,2.295160217,2.886519338,3.73324447
b3630,3.148556205,3.652808504,3.529985631,2.87968881,3.66101084,2.863779001,2.55841496,4.022098481
b0932,4.131772914,3.381683648,4.480914904,4.342419563,3.843338067,3.132021049,3.742303129,3.431046368
b1512,5.2206564,3.464696589,1.754110882,2.927504058,3.876883097,4.506677076,1.149351551,0.645479032
b0443,5.030264057,10.03381313,2.464152822,2.537018357,4.687456922,5.154878913,1.375583752,0.757836377
b0174,4.15708914,3.293380401,4.17702414,4.378808553,4.748703372,2.542087034,3.653360268,4.075065871
b2515,3.79465334,3.72818098,4.002501154,3.405422682,4.654124389,2.381675788,3.550560622,4.081237911
b1563,4.269604966,3.563520013,3.640669267,3.229040463,3.274584498,4.287762042,3.328556007,2.425777395
b3066,4.152254276,3.863814344,2.362603432,2.512327395,3.42540327,4.954388278,1.974123758,3.301525948
b3347,2.686755105,5.196358221,3.132257346,4.279672879,3.370345962,2.574587828,5.204982527,6.938085553
b1306,3.635309131,21.21257497,2.788538294,2.456077555,2.265528047,2.96778547,2.493571037,1.753312266
b1832,3.098843387,3.78064222,4.77898771,3.275144601,3.996376124,3.333422399,4.366799601,5.506309812
b2620,2.83228804,3.272807153,6.717801267,3.239429563,3.909382955,3.761305278,5.371656423,7.16317865
b1448,3.113303824,4.450261024,6.710219762,3.833376785,4.454879299,3.897622807,5.352964265,5.922352337
b2421,3.652652267,3.366679673,3.780623328,4.57421783,4.363691026,0.648886673,5.424766252,6.40685338
b2308,4.093514529,3.161463592,3.868210513,4.896516735,4.487155287,3.693920016,3.502774219,4.708160438
b4149,4.284630098,2.572384569,2.400916003,1.145473019,2.321099635,9.23920224,1.385448414,1.212794179
b0759,3.832449999,4.586385482,3.520866838,3.485939358,4.408248037,4.988736805,4.498121862,4.84702219
b0770,1.915233619,2.235055628,1.985568817,6.678260337,2.203430755,2.06579331,2.07202179,1.537862457
b0891,3.982949668,4.579096279,3.784328298,2.911921659,2.81561096,3.229346278,3.214590456,3.142461184
b0087,4.256267552,4.947840928,4.864054008,2.361626775,4.239814095,2.748771403,3.61048829,4.640036866
b0215,2.902703699,3.383326032,5.88805472,2.890964959,3.944167582,4.23616691,4.082381022,4.418103934
b0786,4.478171186,3.111109045,3.997463588,2.420703178,3.043602982,5.576536037,3.647124601,2.892921586
b4260,3.411043362,3.282166327,3.027991948,3.010117169,3.586971655,3.788084041,4.256325567,4.311498705
b0026,4.140685356,2.899024539,3.634869613,3.86141519,3.687757761,1.752019489,4.367860739,3.979328638
b0422,3.40750076,5.032701527,4.682831493,5.896005246,5.821183569,2.159907784,3.588204428,4.563175098
b3508,3.207365419,3.556546848,3.271075319,3.110119286,2.435383186,3.60104645,3.046194561,2.607254697
b2747,3.318102914,4.909311367,3.530663293,3.383946632,3.069669347,3.96616186,5.134846896,5.885710344
b2478,3.362245383,3.863042624,5.698856357,3.990624411,4.470012554,2.80860913,4.965225221,4.917933251
b3609,3.504327917,4.345788018,2.615710985,3.792514159,3.973766158,4.713055624,4.853876232,3.833973717
b1105,3.962369138,2.865460856,4.105648623,2.241381405,3.882838503,5.460258538,4.410316445,3.980246108
b3886,4.110733398,3.550683206,2.688922729,3.190436734,4.034751516,5.617442247,2.578683033,2.025854456
b0221,4.519238341,6.655637863,4.242500643,3.370342822,4.280218936,4.368779908,1.632955129,1.076105699
b2989,4.021943823,3.038642497,4.713444504,3.282258846,4.268966167,4.174655451,3.059419351,2.448545497
b2159,3.46716626,3.832399401,5.600309657,2.607829786,3.361833133,7.607551048,3.885826715,3.402204592
b2315,3.836692026,3.796528253,3.674673845,3.34195204,3.734438096,3.65968728,3.014367543,2.654055815
b2804,3.622858244,3.5143873,3.298945516,2.851574636,3.497624913,10.43710135,4.23478981,3.359273819
b0735,1.892708502,1.386916439,1.380254106,1.190757341,1.578301938,1.310846074,2.32151075,1.395264881
b1258,3.510434361,12.07099793,4.942530275,1.484051952,3.890273366,1.890707848,2.30902094,0.99343468
b1682,3.766137494,5.014649977,4.981013314,2.461305578,3.589973446,5.129102581,2.358241571,4.499925085
b1863,2.670801186,1.86358744,2.18412045,3.186546677,2.257527204,1.889926764,2.331406405,1.759301045
b0225,2.665722106,3.147180136,2.043495929,2.081713059,2.252501413,3.414503662,1.631858038,2.007681621
b3555,3.04403044,4.613075574,6.616546415,0.964045493,2.021691056,4.531787731,1.372232654,1.711130676
b1687,3.899508004,2.986831757,4.626512731,4.17543277,3.076966829,2.339389818,5.335813336,5.106874925
b0453,3.675536881,5.205255542,3.534992789,1.538169748,2.316987104,3.479499635,3.181173896,2.658641116
b0903,3.952746149,3.911418539,3.239692794,2.514425031,3.662942041,3.018601817,4.12947478,2.774346319
b1221,3.657301298,3.28278244,4.494940785,3.601580676,4.740435557,2.916979013,4.266987951,4.410408799
b1685,2.724951881,2.036459123,7.450102294,2.543056832,2.98703202,1.962111402,3.689430406,3.192321304
b3461,3.725087165,2.890225966,3.148563794,2.466742853,3.344948424,8.043200112,2.478924505,2.711344325
b4016,3.558247287,2.183773849,3.416548844,2.894277813,2.715685679,1.699130061,1.530284235,1.725405975
b0750,3.854474808,5.443500827,5.611396138,4.722057194,3.290118342,2.586935184,4.687564186,6.061202739
b2527,2.419972833,4.172829239,4.353775609,3.9552343,4.429776803,1.599586807,2.692984303,6.399085033
b3346,3.208750509,4.347763837,5.132239236,3.488160459,3.896274571,4.347150559,5.061926759,6.208388723
b3356,3.313929067,3.197528968,4.289588989,3.713651461,4.360734701,4.717586688,3.317962081,3.444966118
b2910,3.670306059,3.596901937,3.508273887,3.206558295,3.296536559,3.005845098,1.831297288,2.360871439
b3041,2.73246572,2.226120881,4.735911743,2.533240284,3.707036059,15.36356169,4.128930396,3.255175366
b1874,4.960365898,3.280473106,2.508137455,2.611913662,3.041491004,3.708757593,0.951107717,1.183273382
b1723,3.61413087,4.118293199,3.771973436,2.200024095,2.6040426,6.296669495,3.896597412,3.211863169
b2516,1.766331114,1.920666001,0.748907566,1.20764136,1.748719832,1.501680914,1.966322244,2.005200852
b2961,2.989683478,5.113057588,3.178988956,6.384897852,3.567807788,3.118808711,3.87428329,4.825399482
b0426,3.138267915,3.106228704,5.453389801,3.238714886,4.019157811,3.223412411,4.178892566,4.64371094
b3353,3.714229853,2.967332436,3.544334686,2.58495374,3.28671633,4.987743998,3.379534986,3.324045971
b0333,5.512692604,6.325606375,1.699249833,4.44399612,6.668139718,0.196146709,0.604614209,1.000184385
b3157,4.154889235,3.914129521,2.835050589,3.601660836,3.497279627,5.647751073,4.141071161,2.96477988
b2350,2.301304231,3.472345054,3.674624803,5.737687319,5.098473486,1.943812705,6.122076335,9.286266266
b0956,3.696611671,3.77781297,2.222813849,4.075175154,3.563886765,4.494745239,3.544725458,3.054823395
b3640,3.21743035,3.29474112,4.887363851,4.292144769,4.077024545,3.584162957,4.409082112,7.020534372
b3600,2.943799731,2.700106047,2.403567841,2.818173961,3.463422059,6.235502663,2.39589229,2.467191662
b1654,3.06050261,3.517546419,4.806256786,3.140477173,3.915615843,3.122461747,4.442119265,5.57703571
b1729,3.201074545,2.889150032,4.072477511,4.094220752,3.388909006,0.57921654,7.528478803,8.760647582
b0462,4.150238042,3.367255084,2.347749651,3.970080595,3.757376151,2.141651729,4.62756616,3.946449278
b2784,4.3218282,3.173731691,3.580595598,3.527338727,3.432881295,3.885039774,3.135318567,3.450421362
b0337,2.761192312,2.423913897,3.398730174,1.662724311,2.320857086,0.991253852,8.488380073,11.20294611
b3603,3.911568,3.808285919,2.780538592,3.828105268,4.367919696,5.080551338,1.783674291,1.05794945
b1684,3.663536828,4.562945725,3.667592569,2.364476599,3.008305667,5.078841902,1.705251777,2.590148598
b4208,4.140995926,2.772157739,1.75735748,2.451750585,3.685224801,5.506681268,2.012174447,1.329522711
b1918,3.221198647,2.779420215,3.455654909,5.222180845,3.57306993,2.065287291,4.172593904,4.828070981
b1479,4.099168058,5.126203483,3.17187247,4.469993094,3.691456487,1.906402476,6.035940799,5.381143523
b1488,4.637351523,4.366984902,1.711715257,2.280717345,2.945644223,8.922771837,0.525520764,0.380343144
b2012,3.466253537,2.948337146,3.847036064,5.160876056,4.989029441,0.25687794,2.032076752,2.037069026
b4219,3.319962314,3.600847514,3.521431048,1.899014236,2.595328408,7.306577453,2.626187211,2.374270917
b0485,3.459297693,3.016172398,2.271225298,0.681752653,1.967512383,7.971552213,4.734058601,2.78396686
b0712,3.885970794,3.131998427,3.974426977,2.816401576,3.252045459,3.741840614,4.08947108,4.448798606
b0828,3.502349839,3.904259415,4.567419902,4.621853748,4.643066276,1.635972433,3.382173693,4.224458184
b1020,3.436643377,4.191454808,4.399815458,2.19350934,2.751063406,8.767582154,1.085167661,2.717986464
b3543,3.7924484,3.623539391,1.941303762,6.257136007,4.036524222,2.27530225,6.568066327,4.055604727
b2080,4.160191354,3.423339185,2.406264194,1.68051664,2.457782576,6.157719241,1.157231843,0.741646643
b0211,4.482371273,3.179443541,2.5738886,4.186236323,3.621998156,1.565768316,3.202402988,2.980370667
b0354,3.020841118,4.243938586,3.995683957,4.415542725,3.648450182,3.025993849,5.461864731,4.547224016
b3687,4.292008089,1.908003752,1.645445361,2.747264698,2.771056004,4.246533305,2.523500351,2.328332009
b1604,3.233468893,3.906920304,4.229339775,3.434061875,3.418181777,2.63098027,4.643028436,4.557745697
b4213,3.427489449,2.389594775,2.193021451,3.762040936,4.087583458,3.958513835,2.810388765,1.485981559
b2922,3.408815448,4.338728853,3.304239234,2.427207185,3.70657183,7.006126877,2.625156543,3.433525632
b4178,3.31784016,4.033201836,2.429460781,2.523388368,2.369478185,5.442609821,2.440252401,2.791978426
b3887,3.506807841,2.716907357,3.08397261,3.674646534,3.224870303,4.537335864,3.852684744,2.901905514
b0335,5.704732209,5.979004729,1.653160124,4.497453141,4.805047168,0.268998543,0.602959912,0.50692956
b2480,2.332470273,2.996027699,5.803043341,3.748076392,3.852481029,3.467061766,4.94259577,6.634723887
b1850,2.66208083,3.099608867,3.478755445,2.391597034,2.75502019,2.910978036,4.937901159,4.833921637
b4090,3.049667558,2.960844734,3.262067425,2.943377676,2.071785643,3.930311878,3.103116171,2.650073334
b3838,2.451724911,2.588417139,4.442300026,4.079611149,4.098449826,2.744290536,3.996732674,6.194472256
b2502,2.860003456,3.241756678,3.245662836,2.969966562,3.018857919,2.515686598,2.843209484,3.190121012
b3554,3.469970068,4.075580298,2.504965037,2.678925293,3.181754256,5.573254634,3.637254929,3.139920429
b2112,4.032234078,4.347113853,3.22303893,1.697917479,3.221384649,5.112210307,2.042621209,1.664823427
b3972,2.644679903,3.355763824,3.591073936,4.077566319,3.214023445,2.15045934,3.707333363,4.96984535
b4147,2.200082379,3.74446726,4.485527778,4.127357221,4.454894623,1.992094885,5.646668662,7.86922474
b3962,3.162094306,2.882281513,2.692827355,4.863794524,3.001988703,2.547091078,3.279011915,2.165757549
b2498,2.922590447,3.604366035,3.344527667,2.612684221,2.565740664,0.595670515,10.46756356,11.99854251
b1000,3.405811236,3.15194273,3.350705644,1.797961813,2.892029275,4.642333845,3.695532821,3.426958915
b1725,3.878353955,3.382074378,2.489579606,1.947489107,2.864912665,11.04049385,1.525162324,0.961152564
b0373,3.322118964,3.915822864,5.889580776,3.577522934,3.767085174,2.890969325,4.21512926,4.166043586
b0827,3.314917264,3.679665921,4.509011105,3.437945068,3.825078207,2.534204649,3.661520893,3.915157788
b3672,3.782797797,3.346567183,2.335449805,3.437912342,4.182356636,3.972535689,2.562401046,2.477007251
b2827,1.383646427,1.74819063,1.809074928,1.529779,1.691035724,1.450923071,1.910175755,2.21648447
b1390,2.646258282,1.788551211,1.081511753,2.235502911,2.274017307,1.900696794,1.228542202,0.810565631
b1805,4.704793712,2.75128596,1.450546271,3.050017568,3.126149542,3.801576802,0.686179207,0.602769732
b2679,3.722160622,2.639237521,4.858262731,2.222262754,2.54238316,1.382208869,4.180391731,5.20462419
b1422,3.632272203,3.285441148,2.835525758,7.09301327,4.804301552,4.103967746,1.881144158,2.249183682
b2148,4.773825101,2.890676919,1.27136347,6.38627899,4.647028909,2.396447948,3.189437786,0.43603577
b1188,4.053253802,2.729471749,2.924525057,0.821333423,1.714968507,7.671162399,0.746460377,1.485199352
b2800,4.166916181,2.962967817,1.192522754,3.830391005,4.588735378,5.162992662,1.591334558,0.522343857
b2023,2.441553117,2.008366457,4.206831087,2.057718667,2.777915742,11.92373687,4.774736624,5.257454037
b2673,2.35556972,5.81319195,2.930488048,5.513514265,5.41125206,5.830896822,1.822151137,2.14542888
b2327,3.364869989,3.51432101,3.74822111,3.562213485,3.406170166,1.485803966,3.4650274,4.272411961
b1232,2.444680861,2.581482886,5.465542611,3.305596183,3.948941534,1.887709402,6.203287425,9.20782875
b3641,2.627312245,2.795618131,2.995039301,3.026420756,3.090499774,2.684150644,3.916766737,5.842228592
b1686,3.443329725,1.927940532,3.710294122,3.968109543,2.88441525,2.23398047,5.16415146,4.475633343
b0574,1.803071171,0.70079589,1.194504277,3.045019209,1.889068828,1.320166193,6.447376743,2.461360373
b4052,2.636612071,3.120083031,4.921808199,3.585369632,3.994974316,2.168786372,4.981780679,5.253037523
b0684,3.116134753,2.640523001,3.904235718,2.838633397,3.671795142,3.826672136,3.947662802,5.09645161
b0425,2.531883586,2.271026747,3.693887319,2.192144285,2.125601417,3.379523931,3.131315816,3.347619697
b0463,3.239507307,3.988626927,2.903195088,3.442996602,4.024046381,1.993925931,5.258838712,4.524166205
b0641,3.385488832,3.204899714,3.460020574,3.296702524,3.537437293,2.192828064,4.239553736,4.977782828
b0607,3.230166067,2.327461672,0.981158298,1.470745919,1.796211601,13.90752635,2.562131386,1.240980947
b2296,3.168111502,3.169820582,2.53981995,2.889158614,3.245047021,5.948287005,4.041235707,3.119338156
b0357,3.806576158,3.331606759,2.754156838,4.043403954,3.648110165,3.209889904,4.982021741,5.344918328
b2276,3.942378579,2.338059444,2.289571166,3.305089987,3.400885753,2.252056423,5.989979277,3.071206019
b3713,2.86919071,4.422245974,3.827286178,1.672923309,2.974186792,5.717996665,3.157798909,3.499158857
b4057,2.807291699,2.93300662,2.926328082,2.479214389,2.112196542,3.797893812,1.809552131,1.40104161
b0922,3.431559926,3.728827517,3.667726811,3.439731243,3.890938234,3.33950681,2.929048708,4.661843035
b2217,3.398263324,2.897028577,3.221899301,4.044625783,3.620479036,2.867890311,3.849704855,4.290378376
b1854,3.252000477,3.696104602,2.026116277,3.414501806,3.75547343,4.094698192,5.543893343,3.173145331
b3523,2.540489062,2.032607342,7.995824791,2.038279047,2.816822351,1.629543918,4.045089155,4.988577716
b4207,2.878957114,2.912913211,4.375689587,3.342965567,2.972689272,2.067526067,6.039002912,5.075011105
b1517,5.005706064,2.985058123,1.51576874,2.910072798,3.725997383,3.570984624,0.933430521,0.647148282
b3022,3.588461569,2.955289008,2.574635095,2.53375798,2.993079176,5.981728428,2.228209677,1.947669368
b3196,2.985555473,3.05165851,2.985942433,3.0082465,3.839855428,2.729313364,3.50860249,4.415268974
b0860,1.721804861,1.690988411,2.213455476,2.381794958,2.121950756,0.845946615,2.985097261,4.309806771
b3834,2.753685667,3.102248338,4.100652203,2.531726594,3.288108586,3.868524464,3.11197218,4.24455984
b1748,4.033044766,2.707455281,1.200208698,1.956892169,2.399816422,15.41490137,0.354443982,0.385253438
b0052,3.170784686,5.015050495,3.294004866,3.500253424,3.883627705,2.586802101,3.676379411,4.587112858
b0190,3.14926683,4.696762712,3.623325986,2.633137592,3.123180614,3.53494847,2.261649775,3.928139977
b3831,3.508906408,2.46270489,2.846971159,2.07915545,3.191401072,5.562022552,1.962557408,1.631187091
b3809,2.757768805,3.30939946,3.642590035,2.932383996,3.632328238,3.228499091,3.767382552,4.919889791
b0661,3.347973724,3.176018159,3.673631348,3.4283201,3.695546889,2.765406384,5.628983525,5.999017494
b4194,2.194465185,2.679542246,1.625650376,2.130739772,2.208701479,2.545234498,2.342825099,2.567157706
b0830,3.960276358,2.62958088,4.060465058,2.972283946,2.991442771,1.480038644,2.683299966,3.317068366
b2968,2.387066113,3.593862548,2.389528523,2.85740439,2.387664009,2.47445175,2.598398861,2.469394059
b2068,1.419452877,1.254149566,1.087518652,1.213283532,1.282160587,2.22137048,1.013182549,0.720387534
b4125,3.192619461,3.150957408,1.849201718,3.357737841,3.903254264,3.15087581,1.80756518,1.575218916
b1602,3.488106829,2.099163995,3.024732058,3.394681461,2.679629753,1.805935762,5.403598005,6.259912914
b0167,3.260023997,3.407304279,3.274676939,3.187370422,2.73702555,3.179799298,3.471342452,5.924659435
b0224,2.623181868,2.354478829,5.676732354,3.171425669,4.328974953,2.937496484,5.127411769,5.814483822
b1244,2.850138641,2.735989054,2.637479981,4.456909936,3.300183082,0.950124902,6.505891696,5.353358122
b3907,4.586932183,0.316886496,2.397711484,2.833135699,3.314906711,0.413625943,1.162524352,1.008719188
b1927,3.483736437,4.091757295,3.491345168,3.035867686,2.649550348,6.077670953,1.747400944,1.63644565
