Taxon,mean,SD,minimum,maximum,non_zero_count
Actinomycetota,0.00025512346679516475,0.00016176063735258306,0.00013748307401777423,0.0005378080787075686,5
Bacteroidetes,0.7144049248647262,0.10884233606027076,0.6144198721984638,0.8967184137448934,5
Campylobacterota,3.7015867780003926e-06,4.818518133204778e-06,0.0,1.1507792283678923e-05,3
Firmicutes,0.050122586679335966,0.020281845341741805,0.030549389228284797,0.08296269117878562,5
Lentispaerota,3.536447509599065e-05,7.246546490630552e-05,0.0,0.0001648703161094739,3
Pseudomonadota,0.0020247001680285077,0.001688392672680597,7.02895813602741e-06,0.003658304782429115,5
Synergistota,6.1536272151023605e-06,9.277230311689106e-06,0.0,2.2514301562532376e-05,4
Thermodesulfobacteriota,0.0005860595339142736,0.0012768524680341193,0.0,0.0028698081899055524,3
Verrucomicrobiota,0.0007421562323472597,0.001017895602790537,0.0,0.002005942687314258,3
