Taxon,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
Acidaminococcaceae,0.0,0.008008696758774948,0.0,0.0,0.0027578206166415766
Actinomycetaceae,1.508276744046794e-06,3.4510947519633496e-06,0.0,7.027267002366952e-05,0.0
Acutalibacteraceae,6.0783552785085796e-05,0.0,1.6225293610208955e-05,0.0,0.0
Akkermansiaceae,0.00228880995909101,1.294160531986256e-05,0.002580835764873862,0.0,0.0
Alcaligenaceae,0.0,2.1569342199770934e-06,0.0,0.0,0.0
Anaerotignaceae,0.007032189491443772,0.00029959816315481826,0.0032577347326747668,4.644631409289745e-05,2.5915167325299155e-06
Anaerovoracaceae,0.0,0.0001686722560022087,0.0,2.5032753699418757e-05,0.0
Atopobiaceae,0.0,0.0,0.0,6.031988843233436e-06,0.0
Bacteroidaceae,0.878746917647939,0.80884278322164,0.9182767453683547,0.7983632801472771,0.901808235268255
Barnesiellaceae,9.125074301483103e-05,0.003124534911058818,7.825323897423694e-05,4.554151576641244e-05,0.0002332365059276924
Bifidobacteriaceae,2.277497883510659e-05,8.433612800110435e-05,0.0004940263877358414,0.00012878296180303384,0.0
Brevibacteriaceae,0.0,0.0,1.3521078008507462e-06,0.0,0.0
Butyricicoccaceae,2.1417529765464476e-05,3.7099268583606004e-05,3.549282977233209e-05,2.261995816212538e-05,3.2170552541750675e-06
Campylobacteraceae,1.5535250463681976e-05,0.0,6.4225120540410445e-06,0.0,2.144703502783378e-06
Carnobacteriaceae,0.0,0.0,0.0,1.2968776012951887e-05,0.0
Christensenellaceae,0.0,0.0,1.6901347510634327e-06,1.206397768646687e-05,0.0
Clostridiaceae,0.011009816920843978,0.0012212561553510302,0.005776880579134812,0.00042616001177444223,0.00012805667164535756
Comamonadaceae,0.0,0.0,0.0,3.015994421616718e-06,0.0
Coprobacillaceae,6.334762324996535e-06,2.3726276419748025e-06,3.042242551914179e-06,0.0,0.0
Coriobacteriaceae,0.0,0.0,0.0,2.35247564886104e-05,2.4127914406313007e-06
Corynebacteriaceae,3.921519534521664e-06,1.2294525053869433e-05,1.183094325744403e-05,6.3335882853951065e-06,0.0
Desulfitobacteriaceae,0.0,0.0,8.450673755317165e-06,0.0,0.0
Desulfovibrionaceae,0.0,0.003953444731796015,0.0,8.143184938365139e-05,7.149011675944595e-06
Dethiosulfovibrionaceae,2.56407046487955e-06,0.0,2.5352021265951493e-06,0.0,0.0
Eggerthellaceae,0.00021432612532904942,7.376715032321659e-05,0.0001284502410808209,4.644631409289745e-05,8.140937045981906e-05
Enterobacteriaceae,0.0005413205234383944,0.0005864704144117717,0.003945450562882477,0.004036606933891815,4.8255828812626015e-06
Enterococcaceae,3.3182088369029466e-06,1.876532771380071e-05,0.0,0.0,2.9489673163271454e-06
Erwiniaceae,0.0,6.902189503926698e-06,0.0,0.0,0.0
Erysipelotrichaceae,0.0002904941009034125,0.0002514985300493291,0.00011002777229422949,0.00019181724521482327,4.110681713668142e-06
Eubacteriaceae,9.321150278209187e-05,0.0004913496153107818,2.1295697863399255e-05,0.0011813650149472684,0.0
Gemellaceae,0.0,0.0,0.0,1.1460778802143527e-05,0.0
Lachnospraceae,0.06137298733665929,0.006301267630241081,0.04163680761939788,0.006651775696875671,0.035760786205410046
Lactobacillaceae,1.0407109533922878e-05,2.566751721772741e-05,0.0,6.9367871697184505e-06,0.0
Micrococcaceae,1.508276744046794e-06,1.8118247447807584e-05,1.6901347510634327e-06,1.6286369876730277e-05,0.0
Monoglobaceae,0.0003684720085706318,0.0004736627547069697,0.0002788722339254664,0.0005799757272768948,0.0
Moraxellaceae,0.0,0.0,0.0,0.0,1.251077043290304e-06
Morganellaceae,0.0,0.0,5.408431203402985e-06,2.714394979455046e-06,0.0
Muribaculaceae,0.0,2.8471531703697634e-05,0.0,5.730389401071763e-06,9.651165762525203e-06
Neisseriaceae,0.0,0.0,7.098565954466418e-06,0.0,0.0
Nocardioidaceae,0.0,4.313868439954187e-06,0.0,0.0,0.0
Odoribacteraceae,6.485589999401214e-06,2.653029090571825e-05,7.605606379785447e-06,0.00024942273866770254,0.00011492036269080937
Oscillospraceae,0.0189525530826688,0.02363935197068295,0.012593701070598958,0.042996921272894416,0.00310704983701147
Oxalobacteraceae,0.0,0.00015292663619637591,0.0,0.00030280583993031845,0.0
Pasteurellaceae,0.0,0.0007605350059639232,6.118287798849626e-05,6.725667560205281e-05,0.0
Peptoniphilaceae,3.0165534880935877e-06,0.0,6.4225120540410445e-06,2.6842350352388788e-05,0.0
Peptostreptococcaceae,1.02562818595182e-05,3.774634884959913e-05,3.3126641120843285e-05,0.0001013374125663217,1.3404396892396114e-06
