Taxon,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
Actinomycetota,0.00026063022137128597,0.00023963539183945507,0.0006919411670853694,0.00035317294677131766,0.0001468228272947121
Bacteroidetes,0.884879872544582,0.9484363305372276,0.9224086177942795,0.9300702485420683,0.9576359397974579
Campylobacterota,1.5535250463681976e-05,0.0,6.4225120540410445e-06,0.0,2.144703502783378e-06
Firmicutes,0.11199769293989231,0.04208480633966106,0.0702666762215618,0.06504595169100776,0.04220043719780904
Lentispaerota,1.010545418511352e-05,0.00022712517336358792,5.746458153615671e-06,0.0,0.0
Pseudomonadota,0.000544789559949702,0.005039676804976479,0.004037224879865222,0.004415114233804714,7.506462259741824e-06
Synergistota,2.56407046487955e-06,6.039415815935862e-06,2.5352021265951493e-06,3.408073696426891e-05,0.0
Thermodesulfobacteriota,0.0,0.003953444731796015,0.0,8.143184938365139e-05,7.149011675944595e-06
Verrucomicrobiota,0.00228880995909101,1.294160531986256e-05,0.002580835764873862,0.0,0.0
