Taxon,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
Acidaminococcales,0.0,0.008008696758774948,0.0,0.0,0.0027578206166415766
Actinomycetales,1.508276744046794e-06,3.4510947519633496e-06,0.0,7.027267002366952e-05,0.0
Bacillales,0.0,4.960948705947315e-06,2.8732290768078355e-06,1.4476773223760244e-05,0.0
Bacteroidales,0.884879872544582,0.9484363305372276,0.9224086177942795,0.9300702485420683,0.9576359397974579
Bifidobacteriales,2.277497883510659e-05,8.433612800110435e-05,0.0004940263877358414,0.00012878296180303384,0.0
Burkholderiales,3.4690365113076264e-06,0.0036808082463909097,0.0,0.0003085362293313902,1.4298023351889188e-06
Campylobacterales,1.5535250463681976e-05,0.0,6.4225120540410445e-06,0.0,2.144703502783378e-06
Christensenellales,0.0,0.0,1.6901347510634327e-06,1.206397768646687e-05,0.0
Coriobacteriales,0.0,0.0,0.0,2.9556745331843833e-05,2.4127914406313007e-06
Desulfovibrionales,0.0,0.003953444731796015,0.0,8.143184938365139e-05,7.149011675944595e-06
Eggerthellales,0.00021432612532904942,7.376715032321659e-05,0.0001284502410808209,4.644631409289745e-05,8.140937045981906e-05
Enterobacterales,0.0005413205234383944,0.0005933726039156984,0.00395085899408588,0.00403932132887127,4.8255828812626015e-06
Erysipelotrichales,0.00029682886322840907,0.0002538711576913039,0.00011307001484614366,0.0002096116123023619,4.110681713668142e-06
Eubacteriales,0.032480588855373305,0.02585603326855341,0.01907908613737956,0.047546548857903236,0.003381661248013692
Lachnosprales,0.06840517682810307,0.0066008657933958985,0.044894542352072644,0.006698222010968568,0.03576337772214258
Lactobacillales,0.00013544325161540208,0.0005047226074746399,1.7408387935953357e-05,0.00040414325249664017,4.1106817136681425e-06
Micrococcales,1.508276744046794e-06,1.8118247447807584e-05,3.042242551914179e-06,1.6286369876730277e-05,0.0
Monoglobales,0.0003684720085706318,0.0004736627547069697,0.0002788722339254664,0.0005799757272768948,0.0
Moraxellales,0.0,0.0,0.0,0.0,1.251077043290304e-06
Mycobacteriales,3.921519534521664e-06,1.2294525053869433e-05,1.183094325744403e-05,6.3335882853951065e-06,0.0
Neisseriales,0.0,0.0,7.098565954466418e-06,0.0,0.0
Pasteurellales,0.0,0.0007605350059639232,6.118287798849626e-05,6.725667560205281e-05,0.0
Peptostreptococcales,1.02562818595182e-05,0.00020641860485180781,3.3126641120843285e-05,0.00012637016626574046,1.3404396892396114e-06
Propionibacteriales,1.6591044184514735e-05,4.766824626149376e-05,5.4591352459348884e-05,5.5494297357747604e-05,6.300066539426173e-05
Pseudomonadales,0.0,4.960948705947315e-06,1.808444183637873e-05,0.0,0.0
Synergistales,2.56407046487955e-06,6.039415815935862e-06,2.5352021265951493e-06,3.408073696426891e-05,0.0
Tissierellales,3.0165534880935877e-06,0.0,6.4225120540410445e-06,2.6842350352388788e-05,0.0
Veillonellales,0.01029791029765389,0.0001755744455061354,0.005839584578399266,0.009427696962531698,0.0002880158078946178
Verrucomicrobiales,0.00228880995909101,1.294160531986256e-05,0.002580835764873862,0.0,0.0
Victivallales,1.010545418511352e-05,0.00022712517336358792,5.746458153615671e-06,0.0,0.0
