mets,InChIKeys,InChIs,SMILES
13dpg,InChIKey=LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",C(=O)([C@@H](COP(=O)([O-])[O-])O)OP(=O)([O-])[O-]
2pg,InChIKey=GXIURPTVHJPJLF-UWTATZPHSA-K,"InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/p-3/t2-/m1/s1",C(=O)([C@@H](CO)OP(=O)([O-])[O-])[O-]
3pg,InChIKey=OSJPPGNTCRNQQC-UWTATZPHSA-K,"InChI=1S/C3H7O7P/c4-2(3(5)6)1-10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/p-3/t2-/m1/s1",O(C[C@H](C(=O)[O-])O)P(=O)([O-])[O-]
6pgc,InChIKey=BIRSGZKFKXLSJQ-SQOUGZDYSA-K,"InChI=1S/C6H13O10P/c7-2(1-16-17(13,14)15)3(8)4(9)5(10)6(11)12/h2-5,7-10H,1H2,(H,11,12)(H2,13,14,15)/p-3/t2-,3-,4+,5-/m1/s1",P(=O)(OC[C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)([O-])[O-]
6pgl,InChIKey=IJOJIVNDFQSGAB-SQOUGZDYSA-L,"InChI=1S/C6H11O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-5,7-9H,1H2,(H2,11,12,13)/p-2/t2-,3-,4+,5-/m1/s1",[C@@H]1(OC(=O)[C@@H]([C@H]([C@@H]1O)O)O)COP(=O)([O-])[O-]
ac,InChIKey=QTBSBXVTEAMEQO-UHFFFAOYSA-M,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1",CC(=O)[O-]
acald,InChIKey=IKHGUXGNUITLKF-UHFFFAOYSA-N,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",O=CC
accoa,InChIKey=ZSLZBFCDCINBPY-ZSJPKINUSA-J,"InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/p-4/t13-,16-,17-,18+,22-/m1/s1",[C@H]1(O[C@@H]([C@H]([C@H]1O)OP(=O)([O-])[O-])COP(=O)(OP(=O)(OCC(C)(C)[C@H](C(=O)NCCC(=O)NCCSC(=O)C)O)[O-])[O-])n1c2c(nc1)c(ncn2)N
actp,InChIKey=LIPOUNRJVLNBCD-UHFFFAOYSA-L,"InChI=1S/C2H5O5P/c1-2(3)7-8(4,5)6/h1H3,(H2,4,5,6)/p-2",CC(=O)OP(=O)([O-])[O-]
adp,InChIKey=XTWYTFMLZFPYCI-KQYNXXCUSA-K,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/p-3/t4-,6-,7-,10-/m1/s1",Nc1ncnc2c1ncn2[C@@H]1O[C@@H]([C@@H](O)[C@H]1O)COP(=O)([O-])OP(=O)([O-])[O-]
akg,InChIKey=KPGXRSRHYNQIFN-UHFFFAOYSA-L,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2",C(CC(=O)[O-])C(=O)C(=O)[O-]
amp,InChIKey=UDMBCSSLTHHNCD-KQYNXXCUSA-L,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/p-2/t4-,6-,7-,10-/m1/s1",Nc1ncnc2c1ncn2[C@@H]1O[C@@H]([C@@H](O)[C@H]1O)COP(=O)([O-])[O-]
atp,InChIKey=ZKHQWZAMYRWXGA-KQYNXXCUSA-J,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/p-4/t4-,6-,7-,10-/m1/s1",Nc1ncnc2c1ncn2[C@@H]1O[C@@H]([C@@H](O)[C@H]1O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-]
cit,InChIKey=KRKNYBCHXYNGOX-UHFFFAOYSA-K,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
co2,InChIKey=CURLTUGMZLYLDI-UHFFFAOYSA-N,"InChI=1S/CO2/c2-1-3",O=C=O
coa,InChIKey=RGJOEKWQDUBAIZ-IBOSZNHHSA-J,"InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/p-4/t11-,14-,15-,16+,20-/m1/s1",[C@H]1(O[C@@H]([C@H]([C@H]1O)OP(=O)([O-])[O-])COP(=O)(OP(=O)(OCC(C)(C)[C@H](C(=O)NCCC(=O)NCCS)O)[O-])[O-])n1c2c(nc1)c(ncn2)N
dhap,InChIKey=GNGACRATGGDKBX-UHFFFAOYSA-L,"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h4H,1-2H2,(H2,6,7,8)/p-2",C(C(=O)COP(=O)([O-])[O-])O
e4p,InChIKey=NGHMDNPXVRFFGS-IUYQGCFVSA-L,"InChI=1S/C4H9O7P/c5-1-3(6)4(7)2-11-12(8,9)10/h1,3-4,6-7H,2H2,(H2,8,9,10)/p-2/t3-,4+/m0/s1",O(C[C@H]([C@H](C=O)O)O)P(=O)([O-])[O-]
etoh,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",CCO
f6p,InChIKey=GSXOAOHZAIYLCY-HSUXUTPPSA-L,"InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h4-7,9-11H,1-2H2,(H2,12,13,14)/p-2/t4-,5-,6-/m1/s1",[C@@H]([C@H](O)COP(=O)([O-])[O-])([C@@H](C(=O)CO)O)O
fdp,InChIKey=RNBGYGVWRKECFJ-VRPWFDPXSA-J,"InChI=1S/C6H14O12P2/c7-4-3(1-16-19(10,11)12)18-6(9,5(4)8)2-17-20(13,14)15/h3-5,7-9H,1-2H2,(H2,10,11,12)(H2,13,14,15)/p-4/t3-,4-,5+,6?/m1/s1",[C@@H]1([C@@H](C(O[C@@H]1COP(=O)([O-])[O-])(COP(=O)([O-])[O-])O)O)O
for,InChIKey=BDAGIHXWWSANSR-UHFFFAOYSA-M,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p-1",C(=O)[O-]
fru,InChIKey=RFSUNEUAIZKAJO-ARQDHWQXSA-N,"InChI=1S/C6H12O6/c7-1-3-4(9)5(10)6(11,2-8)12-3/h3-5,7-11H,1-2H2/t3-,4-,5+,6-/m1/s1",[C@@H]1([C@@H]([C@H](O[C@@]1(CO)O)CO)O)O
fum,InChIKey=VZCYOOQTPOCHFL-OWOJBTEDSA-L,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-2/b2-1+",C(=C\C(=O)[O-])/C(=O)[O-]
g3p,InChIKey=LXJXRIRHZLFYRP-VKHMYHEASA-L,"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h1,3,5H,2H2,(H2,6,7,8)/p-2/t3-/m0/s1",P(=O)(OC[C@H](C=O)O)([O-])[O-]
g6p,InChIKey=NBSCHQHZLSJFNQ-GASJEMHNSA-L,"InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/p-2/t2-,3-,4+,5-,6?/m1/s1",[C@@H]1(C(O[C@@H]([C@H]([C@@H]1O)O)COP(=O)([O-])[O-])O)O
glc_D,InChIKey=WQZGKKKJIJFFOK-GASJEMHNSA-N,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",[C@H]1(O)[C@H](O)[C@H](OC(O)[C@@H]1O)CO
