,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
CSM5MCXD,0.0,0.027848539079366443,0.07570899011691952,0.13386728164788284,0.6059429118109487
CSM5MCY2,0.027848539079366443,0.0,0.1033396494532488,0.10641546027964431,0.6232739370184671
CSM67U9J,0.07570899011691952,0.1033396494532488,0.0,0.20747353645575142,0.5557281308192255
CSM67UAW,0.13386728164788284,0.10641546027964431,0.20747353645575142,0.0,0.6843023700142425
CSM67UB9,0.6059429118109487,0.6232739370184671,0.5557281308192255,0.6843023700142425,0.0
