,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
CSM5MCXD,0.0,0.010127063103182558,0.024039418457984324,0.05718470661189291,0.11664731945568774
CSM5MCY2,0.010127063103182558,0.0,0.03415816579984592,0.047084910999007565,0.12662480134393053
CSM67U9J,0.024039418457984324,0.03415816579984592,0.0,0.0811126205973729,0.09286831617501778
CSM67UAW,0.05718470661189291,0.047084910999007565,0.0811126205973729,0.0,0.17268017286214668
CSM67UB9,0.11664731945568774,0.12662480134393053,0.09286831617501778,0.17268017286214668,0.0
