,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
CSM5MCXD,0.0,0.4066148634948402,0.21885327814449934,0.4029873365154931,0.3832161728610663
CSM5MCY2,0.4066148634948402,0.0,0.42740985025445605,0.35781957825633487,0.45973741218067193
CSM67U9J,0.21885327814449934,0.42740985025445605,0.0,0.4379491694732638,0.4971303047746295
CSM67UAW,0.4029873365154931,0.35781957825633487,0.4379491694732638,0.0,0.42037984622313407
CSM67UB9,0.3832161728610663,0.45973741218067193,0.4971303047746295,0.42037984622313407,0.0
